group,observable,nc,pred_mean,pred_q025,pred_q50,pred_q975,p_pred_lt_0.01,p_pred_lt_0.005,p_pred_lt_0.001,p_pred_lt_0.0005
fragment6dpu_jump_dCoh_max@500fs,jump_dCoh_max,4,0.0037878698676996093,0.003430198622251314,0.0037818793605960722,0.004193987635742895,1.0,1.0,0.0,0.0
fragment6dpu_jump_dCoh_max@500fs,jump_dCoh_max,5,0.0024791607329411915,0.0022716496581742483,0.0024735481024446286,0.0026927448659549635,1.0,1.0,0.0,0.0
fragment6dpu_jump_dCoh_max@500fs,jump_dCoh_max,6,0.0016263584562871934,0.0014015213672599423,0.0016208627733897722,0.0018855550728517716,1.0,1.0,0.0,0.0
fragment6dpu_jump_dCoh_max@500fs,jump_dCoh_max,7,0.0010693632702988521,0.0008430783780198738,0.0010626176403007387,0.0013432863901300313,1.0,1.0,0.30425,0.0
fragment6dpu_jump_dCoh_max@500fs,jump_dCoh_max,8,0.0007047377427007849,0.0005054441324507218,0.0006961394731836545,0.000960772889299548,1.0,1.0,0.985,0.02125
fragment6dpu_jump_dCoh_max@500fs,jump_dCoh_max,9,0.0004654996565268564,0.0003016127108230879,0.00045661470790902604,0.0006891085142897436,1.0,1.0,1.0,0.67125
fragment6dpu_jump_dCoh_max@500fs,jump_dCoh_max,10,0.00030817503904929835,0.000179300328023101,0.00029893272921727447,0.0004948466979511555,1.0,1.0,1.0,0.97625
fragment6dpu_jump_dCoh_max@500fs,jump_dCoh_max,11,0.00020448379856827318,0.0001064955981236596,0.00019588769509123864,0.00035567264641322017,1.0,1.0,1.0,0.99925
fragment6dpu_jump_dFrob_max@500fs,jump_dFrob_max,4,0.10260108352936184,0.09747200837664581,0.10258222987606337,0.10790864010600099,0.0,0.0,0.0,0.0
fragment6dpu_jump_dFrob_max@500fs,jump_dFrob_max,5,0.047554184535892066,0.04599350014937905,0.04754096790842073,0.049227951693581656,0.0,0.0,0.0,0.0
fragment6dpu_jump_dFrob_max@500fs,jump_dFrob_max,6,0.022047754659120847,0.021072940084976892,0.022039152415388646,0.023086746535552878,0.0,0.0,0.0,0.0
fragment6dpu_jump_dFrob_max@500fs,jump_dFrob_max,7,0.010225365523499398,0.009493941209417165,0.010213111496674174,0.011009297816093333,0.2805,0.0,0.0,0.0
fragment6dpu_jump_dFrob_max@500fs,jump_dFrob_max,8,0.004743863378922108,0.004259815350651043,0.004735321231896644,0.00527205925269032,1.0,0.8435,0.0,0.0
fragment6dpu_jump_dFrob_max@500fs,jump_dFrob_max,9,0.002201528837044739,0.001907491144868209,0.0021945989909880025,0.002525507892712771,1.0,1.0,0.0,0.0
fragment6dpu_jump_dFrob_max@500fs,jump_dFrob_max,10,0.0010220107843214054,0.0008544178042900012,0.0010176711425149358,0.0012122284385438868,1.0,1.0,0.4205,0.0
fragment6dpu_jump_dFrob_max@500fs,jump_dFrob_max,11,0.0004745975563580193,0.00038249072488663545,0.00047207106723971424,0.0005820215225638516,1.0,1.0,1.0,0.70675
fragment6dpu_jump_dPop_max@500fs,jump_dPop_max,4,0.057497049859272745,0.05459674758416304,0.057489626259445994,0.0604608556826174,0.0,0.0,0.0,0.0
fragment6dpu_jump_dPop_max@500fs,jump_dPop_max,5,0.02726642809396167,0.026328757978075653,0.02726027326923234,0.028243717382711114,0.0,0.0,0.0,0.0
fragment6dpu_jump_dPop_max@500fs,jump_dPop_max,6,0.012935717692819931,0.012245486125707302,0.012927690074197555,0.013665478662336916,0.0,0.0,0.0,0.0
fragment6dpu_jump_dPop_max@500fs,jump_dPop_max,7,0.006139489995051351,0.005610541122054936,0.006135209681442707,0.006714588748778918,1.0,0.0,0.0,0.0
fragment6dpu_jump_dPop_max@500fs,jump_dPop_max,8,0.0029150999607012156,0.002557285556324233,0.002910845673757645,0.003309816780789074,1.0,1.0,0.0,0.0
fragment6dpu_jump_dPop_max@500fs,jump_dPop_max,9,0.001384694302050614,0.0011648499841323055,0.00138076107708073,0.0016300435391787117,1.0,1.0,0.0,0.0
fragment6dpu_jump_dPop_max@500fs,jump_dPop_max,10,0.0006580116353050167,0.0005308541820742534,0.0006547577401114693,0.0008055004891231492,1.0,1.0,1.0,0.007
fragment6dpu_jump_dPop_max@500fs,jump_dPop_max,11,0.0003128184641339538,0.0002423008256094002,0.0003104091545745414,0.0003970541178214813,1.0,1.0,1.0,1.0
full1jff_jump_dPop_site5@500fs,jump_dPop_site5,5,0.009341668534079379,0.006724080869053899,0.009192591336800116,0.012744430407426064,0.697,0.0,0.0,0.0
full1jff_jump_dPop_site5@500fs,jump_dPop_site5,6,0.005078410221230408,0.002740043473476558,0.004946560016885981,0.008197070942601392,0.9985,0.514,0.0,0.0
full1jff_jump_dPop_site5@500fs,jump_dPop_site5,7,0.003024981343234014,0.0007815394278570052,0.0026459819324407725,0.00707256287528746,0.9995,0.866,0.05775,0.00425
full1jff_jump_dPop_site5@500fs,jump_dPop_site5,8,0.0019508650417610638,0.00021650722320854033,0.0014356324889188818,0.006390230091599977,0.9995,0.9295,0.353,0.137
full1jff_jump_dPop_site5@500fs,jump_dPop_site5,9,0.0013458065519994092,5.9104251355545504e-05,0.0007627290244551037,0.005796096002695646,0.99975,0.95575,0.5885,0.3675
