delta_lambda_nm,fwhm_uv_nm,n_eff_resolution_elements,snr,sigma_crb_nm,snr_50pct_threshold,snr_95pct_threshold,fisher_info_fraction,detect_prob_approx
1.600,25.0,15.6,10.0,0.0405,7.9,23.7,1.0000,0.1325
1.600,25.0,15.6,30.0,0.0135,7.9,23.7,1.0000,1.0000
1.600,25.0,15.6,100.0,0.0040,7.9,23.7,1.0000,1.0000
1.600,25.0,15.6,300.0,0.0013,7.9,23.7,1.0000,1.0000
1.600,25.0,15.6,600.0,0.0007,7.9,23.7,1.0000,1.0000
1.600,25.0,15.6,1000.0,0.0004,7.9,23.7,1.0000,1.0000
1.600,25.0,15.6,2000.0,0.0002,7.9,23.7,1.0000,1.0000
1.600,25.0,15.6,5000.0,0.0001,7.9,23.7,1.0000,1.0000
1.600,25.0,15.6,10000.0,0.0000,7.9,23.7,1.0000,1.0000
0.890,25.0,28.1,10.0,0.0168,10.6,31.8,1.0000,0.0000
0.890,25.0,28.1,30.0,0.0056,10.6,31.8,1.0000,0.9151
0.890,25.0,28.1,100.0,0.0017,10.6,31.8,1.0000,1.0000
0.890,25.0,28.1,300.0,0.0006,10.6,31.8,1.0000,1.0000
0.890,25.0,28.1,600.0,0.0003,10.6,31.8,1.0000,1.0000
0.890,25.0,28.1,1000.0,0.0002,10.6,31.8,1.0000,1.0000
0.890,25.0,28.1,2000.0,0.0001,10.6,31.8,1.0000,1.0000
0.890,25.0,28.1,5000.0,0.0000,10.6,31.8,1.0000,1.0000
0.890,25.0,28.1,10000.0,0.0000,10.6,31.8,1.0000,1.0000
0.500,25.0,50.0,10.0,0.0071,14.1,42.4,1.0000,0.0000
0.500,25.0,50.0,30.0,0.0024,14.1,42.4,1.0000,0.5607
0.500,25.0,50.0,100.0,0.0007,14.1,42.4,1.0000,1.0000
0.500,25.0,50.0,300.0,0.0002,14.1,42.4,1.0000,1.0000
0.500,25.0,50.0,600.0,0.0001,14.1,42.4,1.0000,1.0000
0.500,25.0,50.0,1000.0,0.0001,14.1,42.4,1.0000,1.0000
0.500,25.0,50.0,2000.0,0.0000,14.1,42.4,1.0000,1.0000
0.500,25.0,50.0,5000.0,0.0000,14.1,42.4,1.0000,1.0000
0.500,25.0,50.0,10000.0,0.0000,14.1,42.4,1.0000,1.0000
0.300,25.0,83.3,10.0,0.0033,18.3,54.8,1.0000,0.0000
0.300,25.0,83.3,30.0,0.0011,18.3,54.8,1.0000,0.3216
0.300,25.0,83.3,100.0,0.0003,18.3,54.8,1.0000,1.0000
0.300,25.0,83.3,300.0,0.0001,18.3,54.8,1.0000,1.0000
0.300,25.0,83.3,600.0,0.0001,18.3,54.8,1.0000,1.0000
0.300,25.0,83.3,1000.0,0.0000,18.3,54.8,1.0000,1.0000
0.300,25.0,83.3,2000.0,0.0000,18.3,54.8,1.0000,1.0000
0.300,25.0,83.3,5000.0,0.0000,18.3,54.8,1.0000,1.0000
0.300,25.0,83.3,10000.0,0.0000,18.3,54.8,1.0000,1.0000
