group,observable,nc,pred_mean
fragment6dpu_jump_dCoh_max@500fs,jump_dCoh_max,4,0.003789165508613198
fragment6dpu_jump_dCoh_max@500fs,jump_dCoh_max,5,0.0024790847899685067
fragment6dpu_jump_dCoh_max@500fs,jump_dCoh_max,6,0.0016256690604248938
fragment6dpu_jump_dCoh_max@500fs,jump_dCoh_max,7,0.0010684756487937654
fragment6dpu_jump_dCoh_max@500fs,jump_dCoh_max,8,0.0007038626547641311
fragment6dpu_jump_dCoh_max@500fs,jump_dCoh_max,9,0.0004647307312559154
fragment6dpu_jump_dCoh_max@500fs,jump_dCoh_max,10,0.00030754217510533497
fragment6dpu_jump_dCoh_max@500fs,jump_dCoh_max,11,0.00020398475020885228
fragment6dpu_jump_dFrob_max@500fs,jump_dFrob_max,4,0.10263286966790765
fragment6dpu_jump_dFrob_max@500fs,jump_dFrob_max,5,0.04754760105240915
fragment6dpu_jump_dFrob_max@500fs,jump_dFrob_max,6,0.02203479846395826
fragment6dpu_jump_dFrob_max@500fs,jump_dFrob_max,7,0.010214753005829146
fragment6dpu_jump_dFrob_max@500fs,jump_dFrob_max,8,0.0047367989372307075
fragment6dpu_jump_dFrob_max@500fs,jump_dFrob_max,9,0.00219725420268194
fragment6dpu_jump_dFrob_max@500fs,jump_dFrob_max,10,0.0010195626263505581
fragment6dpu_jump_dFrob_max@500fs,jump_dFrob_max,11,0.00047324467795492744
fragment6dpu_jump_dPop_max@500fs,jump_dPop_max,4,0.057504885300070405
fragment6dpu_jump_dPop_max@500fs,jump_dPop_max,5,0.027268524295921213
fragment6dpu_jump_dPop_max@500fs,jump_dPop_max,6,0.012935972308448057
fragment6dpu_jump_dPop_max@500fs,jump_dPop_max,7,0.00613927510754193
fragment6dpu_jump_dPop_max@500fs,jump_dPop_max,8,0.002914846674852301
fragment6dpu_jump_dPop_max@500fs,jump_dPop_max,9,0.0013845063792473295
fragment6dpu_jump_dPop_max@500fs,jump_dPop_max,10,0.0006578923760440406
fragment6dpu_jump_dPop_max@500fs,jump_dPop_max,11,0.00031274862614486665
full1jff_jump_dPop_site5@500fs,jump_dPop_site5,5,0.009327782409173235
full1jff_jump_dPop_site5@500fs,jump_dPop_site5,6,0.005104410763995311
full1jff_jump_dPop_site5@500fs,jump_dPop_site5,7,0.003057668116342296
full1jff_jump_dPop_site5@500fs,jump_dPop_site5,8,0.0019829554004466817
full1jff_jump_dPop_site5@500fs,jump_dPop_site5,9,0.0013758402018308902
