dataset_id,snr,snr_c,fdm_lite,psi_lite,iqi_spec,delta_lambda_over_fwhm,delta_bic,p_doublet,peak_nm,prep_stability,p_boundary
pubchem::10079877,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::104850,1,300,-0.996667,0.05,0.00300833,,,,,0.95,0.05
pubchem::104850,507791,300,1691.64,0.05,0.9025,,,,,0.95,0.05
pubchem::104850,10,300,-0.966667,0.05,0.0300833,,,,,0.95,0.05
pubchem::104850,73244,300,243.147,0.05,0.9025,,,,,0.95,0.05
pubchem::104865,547852,300,1825.17,0.05,0.9025,,,,,0.95,0.05
pubchem::104865,507791,300,1691.64,0.05,0.9025,,,,,0.95,0.05
pubchem::104865,1,300,-0.996667,0.05,0.00300833,,,,,0.95,0.05
pubchem::104865,10,300,-0.966667,0.05,0.0300833,,,,,0.95,0.05
pubchem::104865,18462,300,60.54,0.05,0.9025,,,,,0.95,0.05
pubchem::104865,501922,300,1672.07,0.05,0.9025,,,,,0.95,0.05
pubchem::104865,1056,300,2.52,0.05,0.9025,,,,,0.95,0.05
pubchem::10607,5,300,-0.983333,0.05,0.0150417,,,,,0.95,0.05
pubchem::10607,507791,300,1691.64,0.05,0.9025,,,,,0.95,0.05
pubchem::10607,0.1,300,-0.999667,0.05,0.000300833,,,,,0.95,0.05
pubchem::10607,10,300,-0.966667,0.05,0.0300833,,,,,0.95,0.05
pubchem::10607,10,300,-0.966667,0.05,0.0300833,,,,,0.95,0.05
pubchem::10607,16,300,-0.946667,0.05,0.0481333,,,,,0.95,0.05
pubchem::10607,5,300,-0.983333,0.05,0.0150417,,,,,0.95,0.05
pubchem::10607,0.2,300,-0.999333,0.05,0.000601667,,,,,0.95,0.05
pubchem::10607,5,300,-0.983333,0.05,0.0150417,,,,,0.95,0.05
pubchem::10607,9289,300,29.9633,0.05,0.9025,,,,,0.95,0.05
pubchem::10657,4,300,-0.986667,0.05,0.0120333,,,,,0.95,0.05
pubchem::10657,,300,,0.05,,,,,250,0.95,0.05
pubchem::10657,0.01,300,-0.999967,0.05,3.00833e-05,,,,,0.95,0.05
pubchem::10657,1,300,-0.996667,0.05,0.00300833,,,,,0.95,0.05
pubchem::10657,10,300,-0.966667,0.05,0.0300833,,,,,0.95,0.05
pubchem::10838895,,300,,0.05,,,14.1,0.999133,,0.95,0.05
pubchem::10838895,,300,,0.05,,,14.1,0.999133,,0.95,0.05
pubchem::11343137,10,300,-0.966667,0.05,0.0300833,,,,,0.95,0.05
pubchem::11351021,77882,300,258.607,0.05,0.9025,,,,,0.95,0.05
pubchem::11354606,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::11354606,,300,,0.05,,,29.3,1,,0.95,0.05
pubchem::11354606,547852,300,1825.17,0.05,0.9025,,,,,0.95,0.05
pubchem::11354606,507791,300,1691.64,0.05,0.9025,,,,,0.95,0.05
pubchem::11354606,10,300,-0.966667,0.05,0.0300833,,,,,0.95,0.05
pubchem::11354606,501922,300,1672.07,0.05,0.9025,,,,,0.95,0.05
pubchem::11414799,96747,300,321.49,0.05,0.9025,,,,,0.95,0.05
pubchem::11545920,2,300,-0.993333,0.05,0.00601667,,,,,0.95,0.05
pubchem::11607738,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::11607738,10,300,-0.966667,0.05,0.0300833,,,,,0.95,0.05
pubchem::11643449,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::11957714,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::11972518,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::126941,,300,,0.05,,,1995,1,,0.95,0.05
pubchem::126941,,300,,0.05,,,1995,1,,0.95,0.05
pubchem::126941,,300,,0.05,,,1995,1,,0.95,0.05
pubchem::126941,0.1,300,-0.999667,0.05,0.000300833,,,,243,0.95,0.05
pubchem::126941,,300,,0.05,,,,,,0.95,0.05
pubchem::126941,,300,,0.05,,,,,,0.95,0.05
pubchem::126941,1,300,-0.996667,0.05,0.00300833,,,,,0.95,0.05
pubchem::126941,547852,300,1825.17,0.05,0.9025,,,,,0.95,0.05
pubchem::126941,507791,300,1691.64,0.05,0.9025,,,,,0.95,0.05
pubchem::126941,1,300,-0.996667,0.05,0.00300833,,,,,0.95,0.05
pubchem::126941,0.18,300,-0.9994,0.05,0.0005415,,,,,0.95,0.05
pubchem::126941,0.1,300,-0.999667,0.05,0.000300833,,,,,0.95,0.05
pubchem::126941,7,300,-0.976667,0.05,0.0210583,,,,,0.95,0.05
pubchem::126941,7,300,-0.976667,0.05,0.0210583,,,,,0.95,0.05
pubchem::126941,2.51257e+06,300,8374.24,0.05,0.9025,,,,,0.95,0.05
pubchem::126941,1,300,-0.996667,0.05,0.00300833,,,,,0.95,0.05
pubchem::126941,1,300,-0.996667,0.05,0.00300833,,,,,0.95,0.05
pubchem::126941,0.01,300,-0.999967,0.05,3.00833e-05,,,,,0.95,0.05
pubchem::126941,450,300,0.5,0.05,0.9025,,,,,0.95,0.05
pubchem::126941,10,300,-0.966667,0.05,0.0300833,,,,,0.95,0.05
pubchem::126941,97,300,-0.676667,0.05,0.291808,,,,,0.95,0.05
pubchem::126941,20,300,-0.933333,0.05,0.0601667,,,,,0.95,0.05
pubchem::126941,9,300,-0.97,0.05,0.027075,,,,,0.95,0.05
pubchem::126941,100,300,-0.666667,0.05,0.300833,,,,,0.95,0.05
pubchem::126941,59,300,-0.803333,0.05,0.177492,,,,,0.95,0.05
pubchem::126941,290,300,-0.0333333,0.05,0.872417,,,,,0.95,0.05
pubchem::126941,,300,,0.05,,,167,1,,0.95,0.05
pubchem::126941,,300,,0.05,,,167,1,,0.95,0.05
pubchem::126941,,300,,0.05,,,167,1,,0.95,0.05
pubchem::126941,,300,,0.05,,,167,1,,0.95,0.05
pubchem::126941,290,300,-0.0333333,0.05,0.872417,,,,,0.95,0.05
pubchem::126941,10,300,-0.966667,0.05,0.0300833,,,,,0.95,0.05
pubchem::126941,,300,,0.05,,,167,1,,0.95,0.05
pubchem::126941,,300,,0.05,,,167,1,,0.95,0.05
pubchem::126941,,300,,0.05,,,167,1,,0.95,0.05
pubchem::126941,,300,,0.05,,,167,1,,0.95,0.05
pubchem::126941,1,300,-0.996667,0.05,0.00300833,,,,,0.95,0.05
pubchem::126941,79314,300,263.38,0.05,0.9025,,,,,0.95,0.05
pubchem::126941,501922,300,1672.07,0.05,0.9025,,,,,0.95,0.05
pubchem::126941,466,300,0.553333,0.05,0.9025,,,,,0.95,0.05
pubchem::13200033,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::13342,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::13342,4,300,-0.986667,0.05,0.0120333,,,,,0.95,0.05
pubchem::13342,7,300,-0.976667,0.05,0.0210583,,,,,0.95,0.05
pubchem::13342,2,300,-0.993333,0.05,0.00601667,,,,,0.95,0.05
pubchem::13342,507791,300,1691.64,0.05,0.9025,,,,,0.95,0.05
pubchem::13342,2,300,-0.993333,0.05,0.00601667,,,,,0.95,0.05
pubchem::13342,2006,300,5.68667,0.05,0.9025,,,,,0.95,0.05
pubchem::13342,2006,300,5.68667,0.05,0.9025,,,,,0.95,0.05
pubchem::13342,2006,300,5.68667,0.05,0.9025,,,,,0.95,0.05
pubchem::13342,262,300,-0.126667,0.05,0.788183,,,,,0.95,0.05
pubchem::13342,,300,,0.05,,,,,,0.95,0.05
pubchem::13342,49,300,-0.836667,0.05,0.147408,,,,,0.95,0.05
pubchem::13342,16,300,-0.946667,0.05,0.0481333,,,,,0.95,0.05
pubchem::13342,,300,,0.05,,,40,1,,0.95,0.05
pubchem::13342,50,300,-0.833333,0.05,0.150417,,,,,0.95,0.05
pubchem::13342,5,300,-0.983333,0.05,0.0150417,,,,,0.95,0.05
pubchem::13342,865,300,1.88333,0.05,0.9025,,,,,0.95,0.05
pubchem::13342,190,300,-0.366667,0.05,0.571583,,,,,0.95,0.05
pubchem::13342,2008,300,5.69333,0.05,0.9025,,,,,0.95,0.05
pubchem::13342,501922,300,1672.07,0.05,0.9025,,,,,0.95,0.05
pubchem::13342,1127,300,2.75667,0.05,0.9025,,,,,0.95,0.05
pubchem::148123,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::148123,10,300,-0.966667,0.05,0.0300833,,,,,0.95,0.05
pubchem::148123,501922,300,1672.07,0.05,0.9025,,,,,0.95,0.05
pubchem::148123,1311,300,3.37,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::148124,1996,300,5.65333,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,2,300,-0.993333,0.05,0.00601667,,,,,0.95,0.05
pubchem::148124,2.01651e+07,300,67216,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,547852,300,1825.17,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,,300,,0.05,,,20,0.999955,,0.95,0.05
pubchem::148124,80,300,-0.733333,0.05,0.240667,,,,,0.95,0.05
pubchem::148124,507791,300,1691.64,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,20,300,-0.933333,0.05,0.0601667,,,,,0.95,0.05
pubchem::148124,20,300,-0.933333,0.05,0.0601667,,,,,0.95,0.05
pubchem::148124,450,300,0.5,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,253738,300,844.793,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,6526,300,20.7533,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,10,300,-0.966667,0.05,0.0300833,,,,,0.95,0.05
pubchem::148124,1,300,-0.996667,0.05,0.00300833,,,,,0.95,0.05
pubchem::148124,450,300,0.5,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,5,300,-0.983333,0.05,0.0150417,,,,,0.95,0.05
pubchem::148124,1,300,-0.996667,0.05,0.00300833,,,,,0.95,0.05
pubchem::148124,450,300,0.5,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,1.5,300,-0.995,0.05,0.0045125,,,,,0.95,0.05
pubchem::148124,5.6,300,-0.981333,0.05,0.0168467,,,,,0.95,0.05
pubchem::148124,1,300,-0.996667,0.05,0.00300833,,,,,0.95,0.05
pubchem::148124,2015,300,5.71667,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,20645,300,67.8167,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,501922,300,1672.07,0.05,0.9025,,,,,0.95,0.05
pubchem::148124,1311,300,3.37,0.05,0.9025,,,,,0.95,0.05
pubchem::15597809,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::156019401,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::16051941,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::163409092,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::16750137,5923,300,18.7433,0.05,0.9025,,,,,0.95,0.05
pubchem::16750137,5923,300,18.7433,0.05,0.9025,,,,,0.95,0.05
pubchem::16750137,5923,300,18.7433,0.05,0.9025,,,,,0.95,0.05
pubchem::16750137,23511,300,77.37,0.05,0.9025,,,,,0.95,0.05
pubchem::168475950,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::169494478,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::171346274,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
pubchem::171713995,6,300,-0.98,0.05,0.01805,,,,,0.95,0.05
