dataset_id,delta_lambda_nm,peak_nm,fwhm_nm,snr,delta_bic,temperature_k,baseline_note,prep_label
pubchem::104850,,,,1,,,,pubchem_pugview
pubchem::104850,,,,507791,,,,pubchem_pugview
pubchem::104850,,,,10,,,,pubchem_pugview
pubchem::104850,,,,73244,,,,pubchem_pugview
pubchem::104865,,,,547852,,,,pubchem_pugview
pubchem::104865,,,,507791,,,,pubchem_pugview
pubchem::104865,,,,1,,1,,pubchem_pugview
pubchem::104865,,,,10,,,,pubchem_pugview
pubchem::104865,,,,18462,,,,pubchem_pugview
pubchem::104865,,,,501922,,,,pubchem_pugview
pubchem::104865,,,,1056,,,,pubchem_pugview
pubchem::10657,,,,4,,,,pubchem_pugview
pubchem::10657,73,250,,,,,,pubchem_pugview
pubchem::10657,,,,0.01,,,,pubchem_pugview
pubchem::10657,,,,1,,,,pubchem_pugview
pubchem::10657,,,,10,,,,pubchem_pugview
pubchem::11351021,,,,77882,,,,pubchem_pugview
pubchem::11354606,,,,6,,,,pubchem_pugview
pubchem::11354606,,,,547852,,,,pubchem_pugview
pubchem::11354606,,,,507791,,,,pubchem_pugview
pubchem::11354606,,,,10,,,,pubchem_pugview
pubchem::11354606,,,,501922,,,,pubchem_pugview
pubchem::11414799,,,,96747,,,,pubchem_pugview
pubchem::126941,129,243,,0.1,,,,pubchem_pugview
pubchem::126941,63,,,,,,,pubchem_pugview
pubchem::126941,63,,,,,,,pubchem_pugview
pubchem::126941,,,,1,,,,pubchem_pugview
pubchem::126941,,,,547852,,,,pubchem_pugview
pubchem::126941,,,,507791,,,,pubchem_pugview
pubchem::126941,,,,1,,,,pubchem_pugview
pubchem::126941,,,,0.18,,,,pubchem_pugview
pubchem::126941,,,,0.1,,,,pubchem_pugview
pubchem::126941,,,,7,,,,pubchem_pugview
pubchem::126941,,,,7,,,,pubchem_pugview
pubchem::126941,,,,2512572,,,,pubchem_pugview
pubchem::126941,,,,1,,,,pubchem_pugview
pubchem::126941,,,,1,,,,pubchem_pugview
pubchem::126941,,,,0.01,,,,pubchem_pugview
