dataset_id,source_file,doi,title,year,technique_tag
crossref::10.53846/goediss-5425,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.53846/goediss-5425,NMR Spectroscopy of the Tau-Microtubule Interaction,None,nmr
crossref::10.1016/j.bpj.2015.11.1101,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1016/j.bpj.2015.11.1101,Force Spectroscopy of Extensile Microtubule Bundles,2016,spectroscopy
crossref::10.1096/fasebj.20.4.a492-b,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1096/fasebj.20.4.a492-b,Microtubule Structural Dynamics Measured with Impedance Spectroscopy,2006,spectroscopy
crossref::10.1016/j.bpj.2019.11.2612,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1016/j.bpj.2019.11.2612,Localized Surface Plasmon Resonance Spectroscopy for the Detection of Microtubule Nucleation,2020,spectroscopy
crossref::10.1016/j.bpj.2011.11.3805,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1016/j.bpj.2011.11.3805,Analysis of the Projection Domain of the Microtubule Associated Protein Tau using Force Spectroscopy,2012,spectroscopy
crossref::10.1096/fasebj.27.1_supplement.1036.4,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1096/fasebj.27.1_supplement.1036.4,A Functional Analysis of the Projection Domain of the Microtubule Associated Protein Tau Using Force Spectroscopy,2013,spectroscopy
crossref::10.1016/j.bpj.2017.11.2114,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1016/j.bpj.2017.11.2114,Ultrafast Force-Clamp Spectroscopy Reveals “Sliding” Catch-Bond Behavior of the Microtubule-Binding NdC80 Protein,2018,spectroscopy
crossref::10.1016/s0006-3495(03)70043-5,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1016/s0006-3495(03)70043-5,EPR Spectroscopy Shows a Microtubule-Dependent Conformational Change in the Kinesin Switch 1 Domain,2003,spectroscopy
crossref::10.1103/physreve.97.052414,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1103/physreve.97.052414,"Molecular force spectroscopy of kinetochore-microtubule attachment 
<i>in silico</i>
: Mechanical signatures of an unusual catch bond and collective effects",2018,spectroscopy
crossref::10.1016/j.bmcl.2006.05.067,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1016/j.bmcl.2006.05.067,Mapping the bound conformation and protein interactions of microtubule destabilizing peptides by STD–NMR spectroscopy,2006,nmr
crossref::10.1007/978-1-0716-2229-2_22,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1007/978-1-0716-2229-2_22,Ultrafast Force-Clamp Spectroscopy of Microtubule-Binding Proteins,2022,spectroscopy
crossref::10.1016/s0006-291x(02)00457-6,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1016/s0006-291x(02)00457-6,"Amphipathic helical behavior of the third repeat fragment in the tau microtubule-binding domain, studied by 1H NMR spectroscopy",2002,nmr
crossref::10.1007/978-1-0716-1406-8_10,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1007/978-1-0716-1406-8_10,Solid-State NMR Spectroscopy for Studying Microtubules and Microtubule-Associated Proteins,2021,nmr
