basis,mode_index,energy_meV,ipr,gamma_over_gamma0
hamiltonian_eigenmode,0,-480.561723298,64.1430651139,4.88250880546e-05
hamiltonian_eigenmode,1,-479.960012561,61.9275163322,0.000717318912898
hamiltonian_eigenmode,2,-459.874030993,64.3513964649,1.82562033298e-05
hamiltonian_eigenmode,3,-457.608976101,63.8550748334,0.00168583918395
hamiltonian_eigenmode,4,-427.366936354,64.740175309,0.000300854580738
hamiltonian_eigenmode,5,-422.939565224,65.9463451899,0.000272945293395
hamiltonian_eigenmode,6,-409.846765823,63.6762866667,0.000359365470474
hamiltonian_eigenmode,7,-409.358376789,61.0102924537,0.000845073545602
hamiltonian_eigenmode,8,-388.850384567,63.146301289,8.04862814797e-05
hamiltonian_eigenmode,9,-388.657768363,60.3036286665,0.000128879163634
hamiltonian_eigenmode,10,-385.779064167,65.2915886492,9.3418317134e-05
hamiltonian_eigenmode,11,-377.826436298,63.5865017543,0.00671745724649
hamiltonian_eigenmode,12,-355.431516857,61.6993364833,0.00139753051846
hamiltonian_eigenmode,13,-354.092903273,60.9241836742,5.85163215513e-06
hamiltonian_eigenmode,14,-338.643875502,66.5696857987,0.00048778591173
hamiltonian_eigenmode,15,-329.248125739,60.5864313137,0.00154844961114
hamiltonian_eigenmode,16,-311.985752788,57.9626337558,0.000264958139804
hamiltonian_eigenmode,17,-310.327060285,59.9308883285,0.00192260468195
hamiltonian_eigenmode,18,-289.717123308,62.1661411159,0.00021926154289
hamiltonian_eigenmode,19,-284.348435167,62.8847210349,0.0021852521485
hamiltonian_eigenmode,20,-283.971251544,61.6437995122,0.00120097747361
hamiltonian_eigenmode,21,-279.91201423,56.8521783112,0.0119930098633
hamiltonian_eigenmode,22,-264.908543266,55.0554933316,0.000468523397032
hamiltonian_eigenmode,23,-263.86288647,47.0191135298,0.000484204468069
hamiltonian_eigenmode,24,-260.067149583,51.9839824595,0.00373154307443
hamiltonian_eigenmode,25,-259.715923814,46.7240863239,7.78908233917e-05
hamiltonian_eigenmode,26,-242.63171354,66.8460990238,0.00061665375211
hamiltonian_eigenmode,27,-236.36508821,51.0571367533,0.00162942887265
hamiltonian_eigenmode,28,-231.246385374,62.8920403439,0.00908349991483
hamiltonian_eigenmode,29,-221.516218777,53.2232736237,0.00176123264179
hamiltonian_eigenmode,30,-212.467102925,53.5463418374,0.000511958787075
hamiltonian_eigenmode,31,-211.166992284,54.8878690017,0.000582316320393
hamiltonian_eigenmode,32,-201.13146168,67.1315680188,0.000338296343971
hamiltonian_eigenmode,33,-193.713564034,55.4288806732,0.00280066409983
hamiltonian_eigenmode,34,-189.614297173,62.9205052298,0.00274375134564
hamiltonian_eigenmode,35,-176.685465127,62.2788209352,0.00878176048485
hamiltonian_eigenmode,36,-167.300439713,58.8182284721,0.000311248545632
hamiltonian_eigenmode,37,-167.104099539,61.4115921921,0.000102645251128
hamiltonian_eigenmode,38,-165.52108771,53.7485699546,0.0244270629709
hamiltonian_eigenmode,39,-152.155876794,79.0260429985,0.000138593448994
hamiltonian_eigenmode,40,-147.885357283,51.8080615778,0.00147250387644
hamiltonian_eigenmode,41,-143.297472008,50.7301173826,0.0209276471193
hamiltonian_eigenmode,42,-135.880044165,60.9209869397,0.00020311662525
hamiltonian_eigenmode,43,-133.653651372,62.0865813547,0.00261283136939
hamiltonian_eigenmode,44,-132.161303872,59.7249572829,0.00621819247647
hamiltonian_eigenmode,45,-132.106930639,61.9175994409,0.00523848485821
hamiltonian_eigenmode,46,-119.462721143,54.6901404715,0.00478467523604
hamiltonian_eigenmode,47,-114.880498653,61.55914766,0.00018708850767
hamiltonian_eigenmode,48,-113.011128261,55.2783184311,0.0023536037249
hamiltonian_eigenmode,49,-110.540520819,55.9040755989,0.000855678173687
hamiltonian_eigenmode,50,-110.452123805,56.9442637871,0.00376737337684
hamiltonian_eigenmode,51,-102.098030072,59.3562788831,0.00678255293471
hamiltonian_eigenmode,52,-96.2707750414,58.0686781441,0.00601979033746
hamiltonian_eigenmode,53,-80.8642225122,60.6388468412,0.050187047457
hamiltonian_eigenmode,54,-74.262758398,43.7964343427,0.00170140625447
hamiltonian_eigenmode,55,-70.0133979549,48.7949441261,0.00825907570961
hamiltonian_eigenmode,56,-61.3352251555,59.0457353585,0.00319933553362
hamiltonian_eigenmode,57,-51.8253858343,59.076351306,0.0302109824759
hamiltonian_eigenmode,58,-40.209989912,68.9103471417,0.015250336769
hamiltonian_eigenmode,59,-33.6330093677,57.4943989505,0.000887751408111
hamiltonian_eigenmode,60,-33.286535763,55.5620882475,0.0046324749024
hamiltonian_eigenmode,61,-23.5868550207,46.4983864355,0.0975275439757
hamiltonian_eigenmode,62,-12.1321476671,61.7965461154,2.71386845733e-06
hamiltonian_eigenmode,63,-12.126344497,60.9969556876,0.000107287729624
hamiltonian_eigenmode,64,-5.67006237057,58.5170481818,0.0155376928058
hamiltonian_eigenmode,65,5.67006237057,58.5170481818,0.199188756301
hamiltonian_eigenmode,66,12.126344497,60.9969556876,0.69598660703
hamiltonian_eigenmode,67,12.1321476671,61.7965461154,0.735389113947
hamiltonian_eigenmode,68,23.5868550207,46.4983864355,0.0731188397723
hamiltonian_eigenmode,69,33.286535763,55.5620882475,0.0885158636329
hamiltonian_eigenmode,70,33.6330093677,57.4943989505,0.123664205212
hamiltonian_eigenmode,71,40.209989912,68.9103471417,0.116956476648
hamiltonian_eigenmode,72,51.8253858343,59.076351306,0.0377907818586
hamiltonian_eigenmode,73,61.3352251555,59.0457353585,0.307691816452
hamiltonian_eigenmode,74,70.0133979549,48.7949441261,0.0712557101956
hamiltonian_eigenmode,75,74.262758398,43.7964343427,0.0426843183941
hamiltonian_eigenmode,76,80.8642225122,60.6388468412,0.0421356269071
hamiltonian_eigenmode,77,96.2707750414,58.0686781441,0.367978107557
hamiltonian_eigenmode,78,102.098030072,59.3562788831,0.484464511392
hamiltonian_eigenmode,79,110.452123805,56.9442637871,0.361191873057
hamiltonian_eigenmode,80,110.540520819,55.9040755989,4.168360322
hamiltonian_eigenmode,81,113.011128261,55.2783184311,39.7412180841
hamiltonian_eigenmode,82,114.880498653,61.55914766,50.863331644
hamiltonian_eigenmode,83,119.462721143,54.6901404715,7.70547686434
