observable,time_fs,nc,value,group,sigma_obs,reference
jump_dPop_max,500.0,4,0.0551,fragment6dpu_jump_dPop_max@500fs,0.0005,0.0
jump_dPop_max,500.0,5,0.029,fragment6dpu_jump_dPop_max@500fs,0.0005,0.0
jump_dPop_max,500.0,6,0.0129,fragment6dpu_jump_dPop_max@500fs,0.0005,0.0
jump_dPop_max,500.0,7,0.00545,fragment6dpu_jump_dPop_max@500fs,0.0005,0.0
jump_dPop_max,500.0,8,0.00209,fragment6dpu_jump_dPop_max@500fs,0.0005,0.0
jump_dCoh_max,500.0,4,0.00357,fragment6dpu_jump_dCoh_max@500fs,0.0002,0.0
jump_dCoh_max,500.0,5,0.00287,fragment6dpu_jump_dCoh_max@500fs,0.0002,0.0
jump_dCoh_max,500.0,6,0.00143,fragment6dpu_jump_dCoh_max@500fs,0.0002,0.0
jump_dCoh_max,500.0,7,0.00091,fragment6dpu_jump_dCoh_max@500fs,0.0002,0.0
jump_dCoh_max,500.0,8,0.000506,fragment6dpu_jump_dCoh_max@500fs,0.0002,0.0
jump_dFrob_max,500.0,4,0.0997,fragment6dpu_jump_dFrob_max@500fs,0.0007,0.0
jump_dFrob_max,500.0,5,0.0491,fragment6dpu_jump_dFrob_max@500fs,0.0007,0.0
jump_dFrob_max,500.0,6,0.0224,fragment6dpu_jump_dFrob_max@500fs,0.0007,0.0
jump_dFrob_max,500.0,7,0.00945,fragment6dpu_jump_dFrob_max@500fs,0.0007,0.0
jump_dFrob_max,500.0,8,0.00376,fragment6dpu_jump_dFrob_max@500fs,0.0007,0.0
site0_population_level,500.0,7,0.486401,fragment6dpu_site0_population_level@500fs,0.00008,0.486315
site0_population_level,500.0,8,0.486348,fragment6dpu_site0_population_level@500fs,0.00008,0.486315
jump_dPop_site5,500.0,5,0.00915,full1jff_jump_dPop_site5@500fs,0.0015,0.0
jump_dPop_site5,500.0,6,0.00502,full1jff_jump_dPop_site5@500fs,0.0015,0.0
