dataset_id,source_file,entry_id,method,resolution_angstrom,em_resolution_angstrom,wilson_b_estimate,b_factor_type,rfree,rfactor,deposited_atoms
rcsb::4H6Z,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4H6Z,X-RAY DIFFRACTION,2.701,,54.314,FULL,0.2605,0.2384,2440
rcsb::8X9P,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8X9P,ELECTRON MICROSCOPY,3.54,3.54,,,,,7669
rcsb::8JJC,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,8JJC,X-RAY DIFFRACTION,2.76,,70.62,FULL,0.2615,0.2397,17324
rcsb::4H6U,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4H6U,X-RAY DIFFRACTION,2.4482,,45.638,FULL,0.25,0.2087,2692
rcsb::4O4H,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4O4H,X-RAY DIFFRACTION,2.1,,33.437,FULL,0.2247,0.1942,18548
rcsb::3TIG,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3TIG,X-RAY DIFFRACTION,2.5,,53.962,FULL,0.2978,0.2498,2434
rcsb::4YLS,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4YLS,X-RAY DIFFRACTION,2.6,,49.729,FULL,0.2472,0.2154,2628
rcsb::4TUY,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4TUY,X-RAY DIFFRACTION,2.1,,36.801,FULL,0.22,0.1892,18801
rcsb::4TV9,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4TV9,X-RAY DIFFRACTION,2.0,,44.92,FULL,0.2094,0.1847,18487
rcsb::4TV8,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4TV8,X-RAY DIFFRACTION,2.103,,50.016,FULL,0.2227,0.1972,18278
rcsb::3TII,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3TII,X-RAY DIFFRACTION,2.5,,48.671,FULL,0.2852,0.2545,4949
rcsb::3TIN,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,3TIN,X-RAY DIFFRACTION,2.9,,56.866,FULL,0.3127,0.2326,2474
rcsb::4YLR,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4YLR,X-RAY DIFFRACTION,2.55,,47.392,FULL,0.2728,0.2297,2607
rcsb::5EYL,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5EYL,X-RAY DIFFRACTION,2.41,,45.158,FULL,0.2038,0.1689,2132
rcsb::4O2B,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4O2B,X-RAY DIFFRACTION,2.3,,41.528,FULL,0.2142,0.1846,18288
rcsb::4O2A,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,4O2A,X-RAY DIFFRACTION,2.5,,56.789,FULL,0.2341,0.1981,18043
rcsb::5IYZ,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5IYZ,X-RAY DIFFRACTION,1.8,,37.242,FULL,0.2045,0.1721,19140
rcsb::5J2U,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5J2U,X-RAY DIFFRACTION,2.5,,45.477,FULL,0.2574,0.2255,17931
rcsb::5J2T,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5J2T,X-RAY DIFFRACTION,2.2,,50.085,FULL,0.2477,0.1998,17918
rcsb::5EYP,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5EYP,X-RAY DIFFRACTION,1.9,,38.416,FULL,0.2071,0.174,8501
rcsb::5JH7,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5JH7,X-RAY DIFFRACTION,2.25,,54.547,FULL,0.2261,0.1919,18365
rcsb::5JVD,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5JVD,X-RAY DIFFRACTION,2.393,,58.419,FULL,0.2125,0.1795,17817
rcsb::5LA6,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5LA6,X-RAY DIFFRACTION,2.1,,52.173,FULL,0.2335,0.191,17893
rcsb::5LXT,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5LXT,X-RAY DIFFRACTION,1.9,,32.828,FULL,0.2091,0.1759,19585
rcsb::5OV7,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5OV7,X-RAY DIFFRACTION,2.402,,54.313,FULL,0.2372,0.1932,17978
rcsb::5NFZ,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5NFZ,X-RAY DIFFRACTION,2.1,,42.337,FULL,0.2241,0.1901,18133
rcsb::5M7E,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5M7E,X-RAY DIFFRACTION,2.046,,41.279,FULL,0.2051,0.1755,18092
rcsb::5MF4,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5MF4,X-RAY DIFFRACTION,2.3,,59.972,FULL,0.2373,0.1919,17630
rcsb::5OSK,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5OSK,X-RAY DIFFRACTION,2.11,,49.096,FULL,0.233,0.1968,18295
rcsb::5M7G,data\raw\public_api\20260425T115542Z\rcsb_tubulin_core_entries.json,5M7G,X-RAY DIFFRACTION,2.248,,49.38,FULL,0.2201,0.1762,17780
